MPI_Rank,allocation
0,lrdn0052.leonardo.local
1,lrdn0089.leonardo.local
2,lrdn0117.leonardo.local
3,lrdn0184.leonardo.local
4,lrdn0211.leonardo.local
5,lrdn0229.leonardo.local
6,lrdn0238.leonardo.local
7,lrdn0268.leonardo.local
8,lrdn0270.leonardo.local
9,lrdn0299.leonardo.local
10,lrdn0305.leonardo.local
11,lrdn0336.leonardo.local
12,lrdn0364.leonardo.local
13,lrdn0394.leonardo.local
14,lrdn0424.leonardo.local
15,lrdn0471.leonardo.local
16,lrdn0679.leonardo.local
17,lrdn0720.leonardo.local
18,lrdn0727.leonardo.local
19,lrdn0781.leonardo.local
20,lrdn0909.leonardo.local
21,lrdn1031.leonardo.local
22,lrdn1033.leonardo.local
23,lrdn1066.leonardo.local
24,lrdn1250.leonardo.local
25,lrdn1285.leonardo.local
26,lrdn1290.leonardo.local
27,lrdn1295.leonardo.local
28,lrdn1307.leonardo.local
29,lrdn1340.leonardo.local
30,lrdn1407.leonardo.local
31,lrdn1432.leonardo.local
32,lrdn1512.leonardo.local
33,lrdn1544.leonardo.local
34,lrdn1598.leonardo.local
35,lrdn1606.leonardo.local
36,lrdn1654.leonardo.local
37,lrdn1694.leonardo.local
38,lrdn1730.leonardo.local
39,lrdn1738.leonardo.local
40,lrdn1827.leonardo.local
41,lrdn1971.leonardo.local
42,lrdn1979.leonardo.local
43,lrdn2033.leonardo.local
44,lrdn2041.leonardo.local
45,lrdn2130.leonardo.local
46,lrdn2244.leonardo.local
47,lrdn2261.leonardo.local
48,lrdn2428.leonardo.local
49,lrdn2502.leonardo.local
50,lrdn2529.leonardo.local
51,lrdn2615.leonardo.local
52,lrdn2629.leonardo.local
53,lrdn2636.leonardo.local
54,lrdn2973.leonardo.local
55,lrdn2997.leonardo.local
56,lrdn3013.leonardo.local
57,lrdn3014.leonardo.local
58,lrdn3023.leonardo.local
59,lrdn3146.leonardo.local
60,lrdn3150.leonardo.local
61,lrdn3172.leonardo.local
62,lrdn3197.leonardo.local
63,lrdn3217.leonardo.local
